date,t_ave,t_max,t_min
2023-11-22,-0.5,2.4,-3.7
2023-11-23,6.8,11.5,0.6
2023-11-24,4.2,7.5,0.1
2023-11-25,1.1,2.5,-0.2
2023-11-26,-0.4,1.5,-2.8
2023-11-27,-0.4,1.8,-2.5
2023-11-28,-2.3,-0.6,-6.9
2023-11-29,-1.5,0.9,-4.7
2023-11-30,-2.9,1.7,-6.1
2023-12-01,-4.9,-0.9,-7.7
2023-12-02,-4.4,-1.7,-6.8
2023-12-03,-2.6,-1.5,-7.3
2023-12-04,-3.4,-1,-7.9
2023-12-05,-1.4,0,-4.2
2023-12-06,0.6,1.4,0
2023-12-07,0.9,1.5,0.6
2023-12-08,0.8,1.4,0.4
2023-12-09,2.9,5.5,0.9
2023-12-10,5.5,7.9,2.1
2023-12-11,7.9,9.6,5.8
2023-12-12,5.6,7.7,2.5
2023-12-13,4.5,5.4,3
2023-12-14,3,4,1.6
2023-12-15,3,6.1,-0.4
2023-12-16,7,8.4,5.3
2023-12-17,7.4,9.8,4.1
2023-12-18,5.8,7.7,3.5
2023-12-19,6,6.6,4.8
2023-12-20,5.2,6.6,3.8
2023-12-21,6.9,9.7,4.2
2023-12-22,3.5,5,0
2023-12-23,1.6,2.5,0.3
2023-12-24,6.7,12,0.2
2023-12-25,9.9,11.4,8.4
2023-12-26,8.5,10.3,4.4
2023-12-27,3.3,5.2,-0.3
2023-12-28,7.9,10.4,4.1
2023-12-29,9.4,11.4,7.2
2023-12-30,5.9,9.3,3.7
2023-12-31,5.9,7.9,2.5
2024-01-01,6.2,8.1,3.8
2024-01-02,4.7,8.5,2.1
2024-01-03,9.5,11.6,8.1
2024-01-04,4.1,8.8,-0.4
2024-01-05,0.4,0.9,-0.3
2024-01-06,-0.3,0.9,-1.5
2024-01-07,-2.7,-0.9,-7.8
2024-01-08,-7.3,-4,-9.7
2024-01-09,-8.8,-3.9,-12.1
2024-01-10,-7.2,-1.2,-10.7
2024-01-11,-4.1,0,-10.2
2024-01-12,-0.2,1.1,-1.1
2024-01-13,1.9,2.8,1
2024-01-14,2.3,3.3,1
2024-01-15,1.2,3,-1.6
2024-01-16,-1.4,0.6,-6.1
2024-01-17,-2.7,-0.4,-6
2024-01-18,-3.8,-0.8,-9.4
2024-01-19,-2.7,1.6,-9.3
2024-01-20,-0.6,2.3,-5.6
2024-01-21,-0.9,2.9,-6.2
2024-01-22,6.4,9.4,1.9
2024-01-23,5.5,8.1,2.9
2024-01-24,8.9,11.4,4.8
2024-01-25,7.2,8.9,1
2024-01-26,4.6,9.6,-0.4
2024-01-27,4.1,7.1,-1
2024-01-28,2,8,-2.5
2024-01-29,3.6,10.4,-1
2024-01-30,4.7,8.9,0.1
2024-01-31,5.6,8,4.1
2024-02-01,6.1,8.8,3.9
2024-02-02,6.1,8.6,3.7
2024-02-03,9.5,11.3,7.1
2024-02-04,7,8.8,4.2
2024-02-05,9.8,10.6,6.7
2024-02-06,10,11.4,8.8
2024-02-07,3.9,9.4,-0.9
2024-02-08,0.7,4.1,-1.9
2024-02-09,3.8,9.1,0.3
2024-02-10,9.8,14.3,7.7
2024-02-11,8.1,9.1,6.5
2024-02-12,6.9,9.6,2.4
2024-02-13,4.9,9.1,0.6
2024-02-14,6,10.1,0.8
2024-02-15,10.9,13.7,8.4
2024-02-16,11.6,16.4,8.1
2024-02-17,8.9,11.9,5.9
2024-02-18,6.8,10.3,1
2024-02-19,7.8,9.2,6.2
2024-02-20,7.9,8.6,6.7
2024-02-21,8.3,11.7,6.5
2024-02-22,9.7,12.3,7.8
2024-02-23,7.8,11.6,2.7
2024-02-24,5.4,11.6,0.3
2024-02-25,5.4,13.1,-0.1
2024-02-26,5.3,11.1,-1.4
2024-02-27,5,6.8,4
2024-02-28,2.7,4.8,-1.4
2024-02-29,4.2,10.1,-2.6
2024-03-01,7.7,10.1,5.7
2024-03-02,9.3,13.6,6.8
2024-03-03,10.1,15,6.1
2024-03-04,8.6,12.6,4.8
2024-03-05,4.3,7.9,-2.1
2024-03-06,3.3,7.9,-2.6
2024-03-07,4.3,8.3,-1.3
2024-03-08,3.1,9.6,-2.7
2024-03-09,4.9,10.1,-0.4
2024-03-10,8.1,12.9,2.5
2024-03-11,10,14.1,3.6
2024-03-12,8.6,15,2
2024-03-13,9,14.7,4.3
2024-03-14,10.5,15.2,6.8
2024-03-15,12.4,19,6.8
